Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,30.896228790283203,33.62959359073471,25.53699184752579,27.579337772780345,855215656
1,2007-10-08,29.31456756591797,31.940440009912148,29.13029501157929,31.940440009912148,126671715
2,2007-10-09,31.31084442138672,31.58725116900844,27.74825699210877,29.329921759876378,116725709
3,2007-10-10,31.602611541748047,32.2475634777961,31.326204759320543,32.124714398993284,67931378
4,2007-10-11,35.13447952270508,36.85434961576896,31.326198423076104,36.85434961576896,106320954
5,2007-10-12,34.904144287109375,36.209402372050526,34.09027831431998,34.397397863717906,99410791
6,2007-10-15,35.36481857299805,35.84085630609194,35.05769906735355,35.625870985910844,41814972
7,2007-10-16,38.973487854003906,39.58773126868942,35.1652053426434,35.41089937605639,138614496
8,2007-10-17,42.013973236083984,42.9967534830677,32.58539751446679,35.011643669140604,204876259
9,2007-10-18,40.539794921875,45.899033527560846,38.804570041069134,42.689632089564846,146617799
10,2007-10-19,40.40157699584961,42.04466698886305,38.38994197363851,39.61841985019818,110266491
11,2007-10-22,39.86412811279297,41.107960614461874,38.54351155864125,39.587721353041594,72253405
12,2007-10-23,42.704986572265625,43.08888603056992,40.846910694727455,40.846910694727455,74594921
13,2007-10-24,42.04468536376953,44.07167557906907,41.56864747921385,43.610992008450964,63055170
14,2007-10-25,41.95253372192383,42.93531780824536,37.053975930549925,40.61656303649686,34522489
15,2007-10-26,43.211734771728516,43.90275382462318,41.53793139959775,42.68962982108886,62370025
16,2007-10-29,44.08702087402344,45.1465849550928,43.70312144835705,43.91810679296037,43657697
17,2007-10-30,45.069801330566406,46.28292091567573,43.365285522684296,44.68590193675175,79921711
18,2007-10-31,46.00651168823242,47.02000853224042,45.14657875899061,45.30013850818199,44655368
19,2007-11-01,44.977684020996094,47.496066888958616,44.60914292984494,47.14288011451407,50632492
20,2007-11-02,45.791526794433594,46.067937677981,42.9967385003224,43.349929259171894,32001693
21,2007-11-05,46.72825241088867,47.75710376325044,45.4844157017078,45.760826636353954,38833135
22,2007-11-06,47.342506408691406,50.33692304031315,46.697554301072884,47.542133351017476,81880281
23,2007-11-07,46.65147399902344,48.89344517708875,45.60726830191871,48.21778462746839,33593141
24,2007-11-08,45.85295867919922,47.09679532983212,44.83946585178758,45.45370493884322,27990521
25,2007-11-12,46.958587646484375,47.78781204099281,43.25779482278589,44.4709186285343,35153735
26,2007-11-13,48.07957458496094,49.04700029816694,46.23685735387316,47.75710073575071,43830531
27,2007-11-14,47.44998550415039,49.599822468888014,47.204287351692095,48.92415775659733,36738579
